,Date/Time,AIR LOOP DEMAND SIDE INLET 1:System Node Temperature [C](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Mass Flow Rate [kg/s](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Standard Density Volume Flow Rate [m3/s](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Current Density Volume Flow Rate [m3/s](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Temperature [C](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Mass Flow Rate [kg/s](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Standard Density Volume Flow Rate [m3/s](Hourly)
8210, 12/09  03:00:00,7.141369479296612,18.9442075938461,0.0025335825530936,15.870976895310683,15.347526068474082,7.141369479296612,18.9442075938461,0.0025335825530936,15.870976895310683
8211, 12/09  04:00:00,6.885163517009358,18.9442075938461,0.0024363209569035,15.870976895310683,15.33110934595507,6.885163517009358,18.9442075938461,0.0024363209569035,15.870976895310683
8212, 12/09  05:00:00,6.604095989923874,18.9442075938461,0.0023290861793624,15.870976895310683,15.313091487951976,6.604095989923874,18.9442075938461,0.0023290861793624,15.870976895310683
8213, 12/09  06:00:00,6.30974953991274,18.9442075938461,0.0022166842012654,15.870976895310683,15.28273113924978,6.30974953991274,18.9442075938461,0.0022166842012654,15.870976895310683
8214, 12/09  07:00:00,6.2834731446547405,18.9442075938461,0.0021149957352616,15.870976895310683,15.274974846409531,6.2834731446547405,18.9442075938461,0.0021149957352616,15.870976895310683
8215, 12/09  08:00:00,6.73555330349786,18.9442075938461,0.0021321918898226,15.870976895310683,15.288618761523805,6.73555330349786,18.9442075938461,0.0021321918898226,15.870976895310683
8216, 12/09  09:00:00,8.653598228241417,18.9442075938461,0.0022806086952806,15.870976895310688,15.38164996235562,8.653598228241417,18.9442075938461,0.0022806086952806,15.870976895310688
8217, 12/09  10:00:00,9.992652854362444,18.9442075938461,0.0025823240822216,15.870976895310688,15.446760249073414,9.992652854362444,18.9442075938461,0.0025823240822216,15.870976895310688
8218, 12/09  11:00:00,10.816803598699073,18.9442075938461,0.0028116033329789,15.870976895310683,15.505158936651991,10.816803598699073,18.9442075938461,0.0028116033329789,15.870976895310683
8219, 12/09  12:00:00,10.993300490182456,18.9442075938461,0.002974680964376,15.870976895310688,15.522721517954617,10.993300490182456,18.9442075938461,0.002974680964376,15.870976895310688
8220, 12/09  13:00:00,11.870699140363264,18.9442075938461,0.0031720601608446,15.870976895310688,15.575573021328902,11.870699140363264,18.9442075938461,0.0031720601608446,15.870976895310688
8221, 12/09  14:00:00,12.435799100434089,18.9442075938461,0.0033199569421235,15.870976895310683,15.610145433388416,12.435799100434089,18.9442075938461,0.0033199569421235,15.870976895310683
8222, 12/09  15:00:00,13.065721066861096,18.9442075938461,0.0034690600945263,15.870976895310683,15.64830713881788,13.065721066861096,18.9442075938461,0.0034690600945263,15.870976895310683
8223, 12/09  16:00:00,13.30107817282,18.9442075938461,0.0034586292810881,15.870976895310683,15.649176633337497,13.30107817282,18.9442075938461,0.0034586292810881,15.870976895310683
